catalogNumber	scientificName	associatedTaxa	kingdom	phylum	class	order	family	genus	specificEpithet	Comments
1597587334	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587335	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587336	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587337	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587338	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587339	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587340	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587342	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587343	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587344	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587345	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587346	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587347	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587348	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587349	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587350	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587351	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587353	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587354	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587355	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587356	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587357	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587358	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587359	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587360	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587361	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587362	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587364	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587365	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587366	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587376	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587377	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587378	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587379	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587380	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587381	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587383	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587384	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587385	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587386	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
